verb,frame,relfreq,freqcnt
convolute,NP,0.495775,176
convolute,NONE,0.292958,104
convolute,PP,0.129577,46
convolute,SCOMP,0.08169,29
fawn,PP,0.341581,69
fawn,NONE,0.341581,69
fawn,NP,0.21782,44
fawn,NONE,0.054455,11
fawn,PP_PP,0.034653,7
fawn,PP_WHVP,0.004951,1
fawn,SCOMP,0.004951,1
fawn,VPING,1e-05,0
foul,NONE,0.437725,935
foul,NP,0.302897,647
foul,PP,0.167132,357
foul,NP_PP,0.068351,146
foul,PP_PP,0.014512,31
foul,NP PRT +,0.009363,20
foul,NONE,1e-05,0
foul,NONE,1e-05,0
prefix,NONE,0.317073,52
prefix,SCOMP,0.22561,37
prefix,NP,0.189025,31
prefix,NP_SCOMP,0.091463,15
prefix,PP,0.067073,11
prefix,NP_PP,0.067073,11
prefix,NONE,0.02439,4
prefix,NP_PP,0.012195,2
prefix,PP_VPINF,0.006097,1
forgather,NONE,0.99998,4
forgather,NONE,1e-05,0
forgather,NONE,1e-05,0
preface,NP_PP,0.485713,51
preface,NP,0.352381,37
preface,NP_PP,0.066667,7
preface,NP PRT +,0.057143,6
preface,NP_WHPP,0.019048,2
preface,PP_WHPP,0.009524,1
preface,NP_PP,0.009524,1
underachieve,NONE,0.560897,175
underachieve,NP,0.278846,87
underachieve,PP,0.144231,45
underachieve,PP,0.009616,3
underachieve,NP_NP,0.00641,2
shamble,PP,0.577465,41
shamble,NONE,0.40845,29
shamble,PP_WHPP,0.014085,1
conjure,NP,0.597871,339
conjure,NONE,0.158726,90
conjure,NP_PP,0.130509,74
conjure,PP,0.061727,35
conjure,NP PRT +,0.038801,22
conjure,SING_PP,0.012346,7
conjure,SINF,1e-05,0
conjure,NONE,1e-05,0
regularize,NP,0.603774,128
regularize,NP_PP,0.183962,39
regularize,NONE,0.165094,35
regularize,SING,0.037736,8
regularize,NP_NP,0.009434,2
chatter,NONE,0.601571,228
chatter,PP,0.36147,137
chatter,PP_PP,0.021108,8
chatter,NP_PP,0.010554,4
chatter,PP_AP,0.005277,2
chatter,NONE,1e-05,0
chatter,PP,1e-05,0
rouse,NP,0.579425,766
rouse,NP_PP,0.198185,262
rouse,NONE,0.099092,131
rouse,SINF,0.065809,87
rouse,PP,0.055975,74
rouse,PP,0.001513,2
scold,NP,0.488136,144
scold,NONE,0.261017,77
scold,NP_PP,0.115255,34
scold,NP_PP,0.088135,26
scold,PP,0.044068,13
scold,NP_PP,0.00339,1
quadruple,PP,0.324385,435
quadruple,NONE,0.305742,410
quadruple,NP,0.232661,312
quadruple,PP_PP,0.06786,91
quadruple,NP_PP,0.054437,73
quadruple,PP,0.01044,14
quadruple,NP_AP PRT +,0.002237,3
quadruple,NP_SCOMP,0.002237,3
outwit,NP,0.835695,295
outwit,NP_PP,0.161473,57
outwit,SCOMP,0.002833,1
tingle,NONE,0.491667,118
tingle,PP,0.3375,81
tingle,NP,0.120833,29
tingle,NP_PP,0.0125,3
tingle,PP,0.0125,3
tingle,NP_NP,0.008334,2
tingle,PP_PP,0.008334,2
tingle,PP,0.004166,1
tingle,PP,0.004166,1
sputter,NONE,0.647187,598
sputter,PP,0.21645,200
sputter,NP,0.098485,91
sputter,PP_PP,0.017316,16
sputter,PP_PP,0.010822,10
sputter,PP,0.005411,5
sputter,PP_WHPP,0.003247,3
sputter,PP,0.001082,1
lord,PP,0.372434,127
lord,NP,0.187683,64
lord,NONE,0.152493,52
lord,NP_PP,0.131965,45
lord,VPINF,0.099706,34
lord,PP_PP,0.049853,17
lord,NP_PP,0.002933,1
lord,PP,0.002933,1
swivel,NONE,0.331727,69
swivel,PP,0.283651,59
swivel,NP,0.197113,41
swivel,NP_PP,0.076923,16
swivel,VPINF,0.076923,16
swivel,NP PRT +,0.024038,5
swivel,PP,0.009615,2
swivel,PP,1e-05,0
bellyache,NONE,0.444444,12
bellyache,NP,0.296296,8
bellyache,PP,0.111111,3
bellyache,SCOMP,0.111111,3
bellyache,VPPRT,0.037037,1
stipulate,SCOMP,0.304017,1559
stipulate,SCOMP,0.187988,964
stipulate,NP_PP,0.147621,757
stipulate,PP,0.13319,683
stipulate,NP,0.125975,646
stipulate,SCOMP,0.088339,453
stipulate,PP_PP,0.0117,60
stipulate,PP,0.00117,6
pigment,NP,0.404909,66
pigment,NONE,0.196319,32
pigment,SCOMP,0.147239,24
pigment,PP,0.104295,17
pigment,NP_PP,0.079755,13
pigment,NP_PP,0.02454,4
pigment,VPBSE,0.018405,3
pigment,NP PRT +,0.012269,2
pigment,NP_NP_SCOMP,0.012269,2
befoul,NP,0.525,21
befoul,NP_PP,0.225,9
befoul,NONE,0.125,5
befoul,NP_PP_PP,0.05,2
befoul,NONE,0.05,2
befoul,PP_PP,0.025,1
yellow,NONE,0.544872,85
yellow,NP,0.423078,66
yellow,NP_PP,0.032051,5
unify,NP,0.746939,1594
unify,NP_PP,0.244138,521
unify,NP_PP,0.008904,19
unify,PP,1e-05,0
unify,NONE,1e-05,0
disturb,NP,0.703839,3667
disturb,NP_PP,0.242995,1266
disturb,NP,0.030134,157
disturb,PP_PP,0.009789,51
disturb,NP,0.009213,48
disturb,NP_SCOMP,0.002879,15
disturb,SINF,0.001151,6
prize,NP,0.2588,169
prize,NP_PP,0.238893,156
prize,PP,0.214391,140
prize,NONE,0.12404,81
prize,NP_PP,0.091882,60
prize,PP_PP,0.035222,23
prize,NP_PP,0.032158,21
prize,NP_PP,0.004594,3
prize,NP,1e-05,0
prize,NP,1e-05,0
buttonhole,NP,0.682692,71
buttonhole,NP_PP,0.288462,30
buttonhole,NP_NP_SCOMP,0.009615,1
buttonhole,NP_WHPP,0.009615,1
buttonhole,SCOMP,0.009615,1
understock,NONE,0.5,8
understock,NP,0.1875,3
understock,NP,0.125,2
understock,PP,0.125,2
understock,VPINF,0.0625,1
