verb,frame,relfreq,freqcnt
convolute,NP,0.441103,176
convolute,NONE,0.260652,104
convolute,PP,0.115288,46
convolute,NP_NP,0.072682,29
convolute,SCOMP,0.072682,29
convolute,SCOMP,0.037594,15
fawn,PP,0.309417,69
fawn,NONE,0.309417,69
fawn,NP,0.197309,44
fawn,NONE,0.049327,11
fawn,NP,0.044843,10
fawn,PP_PP,0.03139,7
fawn,SCOMP,0.03139,7
fawn,SCOMP,0.026906,6
foul,NONE,0.40723,935
foul,NP,0.281794,647
foul,PP,0.155488,357
foul,NP_PP,0.063589,146
foul,NP_NP,0.055314,127
foul,SCOMP,0.036585,84
prefix,NONE,0.272251,52
prefix,SCOMP,0.193717,37
prefix,NP,0.162304,31
prefix,NP_SCOMP,0.078534,15
prefix,PP,0.057592,11
prefix,NP_PP,0.057592,11
prefix,NP_NP,0.04712,9
prefix,SCOMP,0.041885,8
prefix,NP_PP,0.036649,7
prefix,NONE,0.026178,5
prefix,SCOMP,0.026178,5
forgather,NONE,1.0,4
preface,NP_PP,0.392308,51
preface,NP,0.284615,37
preface,NP_NP,0.061538,8
preface,NONE,0.053846,7
preface,NP_PP,0.053846,7
preface,NP PRT +,0.046154,6
preface,PP,0.038462,5
preface,SCOMP,0.038462,5
preface,SCOMP,0.030769,4
underachieve,NONE,0.553797,175
underachieve,NP,0.275316,87
underachieve,PP,0.142405,45
underachieve,SCOMP,0.028481,9
shamble,PP,0.399204,41
shamble,NONE,0.30533,29
shamble,NP_NP,0.035616,5
shamble,PP,0.025294,4
shamble,NP,0.086617,2
shamble,NP,0.02599,0
shamble,NP_PP,0.027988,0
shamble,NONE,0.037984,0
shamble,PP,0.031987,0
shamble,PP_PP,0.02399,0
conjure,NP,0.509575,339
conjure,NONE,0.133717,90
conjure,NP_PP,0.168193,74
conjure,NP_NP,0.040293,53
conjure,PP,0.045264,35
conjure,NP PRT +,0.026053,22
conjure,SINF,0.030265,3
conjure,NP_PP,0.04664,0
regularize,NP,0.507937,128
regularize,NP_PP,0.154762,39
regularize,NONE,0.138889,35
regularize,NP_NP,0.083333,21
regularize,SCOMP,0.047619,12
regularize,NP_SCOMP,0.035714,9
regularize,SING,0.031746,8
chatter,NONE,0.473024,228
chatter,PP,0.266112,137
chatter,NP,0.149938,18
chatter,NONE,0.052822,0
chatter,NP,0.031693,0
chatter,PP,0.026411,0
rouse,NP,0.497726,766
rouse,NP_PP,0.17024,262
rouse,NONE,0.08512,131
rouse,SINF,0.05653,87
rouse,NP_NP,0.048733,75
rouse,PP,0.048083,74
rouse,NP_PP,0.042885,66
rouse,NP_PP,0.026641,41
rouse,NP,0.024042,37
scold,NP,0.463,144
scold,NONE,0.160528,77
scold,NP_PP,0.107835,34
scold,NP_PP,0.153574,26
scold,PP,0.032559,13
scold,NP_PP,0.027219,12
scold,NP_PP,0.055286,0
quadruple,PP,0.289421,435
quadruple,NONE,0.272788,410
quadruple,NP,0.207585,312
quadruple,PP_PP,0.060546,91
quadruple,NP_NP,0.051231,77
quadruple,NP_PP,0.04857,73
quadruple,NP_PP,0.023952,36
quadruple,SCOMP,0.023287,35
quadruple,NP_PP_PP,0.022621,34
outwit,NP,0.638312,295
outwit,NP_PP,0.184963,57
outwit,NP_NP,0.04178,34
outwit,NONE,0.082833,30
outwit,PP,0.052112,5
tingle,NONE,0.475806,118
tingle,PP,0.326613,81
tingle,NP,0.116935,29
tingle,PP,0.048387,12
tingle,NONE,0.032258,8
sputter,NONE,0.672666,598
sputter,PP,0.224972,200
sputter,NP,0.102362,91
lord,PP,0.32398,127
lord,NP,0.163265,64
lord,NONE,0.132653,52
lord,NP_PP,0.114796,45
lord,VPINF,0.086735,34
lord,PP_PP,0.043367,17
lord,SCOMP,0.040816,16
lord,SCOMP,0.035714,14
lord,VPING,0.030612,12
lord,NP_NP,0.028061,11
swivel,NONE,0.297414,69
swivel,PP,0.25431,59
swivel,NP,0.176724,41
swivel,NP_PP,0.068966,16
swivel,VPINF,0.068966,16
swivel,SINF,0.060345,14
swivel,NP_NP,0.038793,9
swivel,PP_VPINF,0.034483,8
bellyache,NONE,0.428571,12
bellyache,NP,0.285714,8
bellyache,PP,0.107143,3
bellyache,SCOMP,0.107143,3
bellyache,VPPRT,0.035714,1
bellyache,SCOMP,0.035714,1
stipulate,SCOMP,0.166975,1559
stipulate,SCOMP,0.100669,964
stipulate,NP_PP,0.166655,757
stipulate,PP,0.100525,683
stipulate,NP,0.280209,646
stipulate,SCOMP,0.059821,453
stipulate,NONE,0.037544,0
stipulate,NP_PP,0.087602,0
pigment,NP,0.317308,66
pigment,NONE,0.153846,32
pigment,SCOMP,0.115385,24
pigment,PP,0.081731,17
pigment,SCOMP,0.067308,14
pigment,NP_PP,0.0625,13
pigment,VPINF,0.048077,10
pigment,AP,0.038462,8
pigment,NP_NP,0.033654,7
pigment,SCOMP,0.028846,6
pigment,SINF,0.028846,6
pigment,NP_SCOMP,0.024038,5
befoul,NP,0.446809,21
befoul,NP_PP,0.191489,9
befoul,NONE,0.106383,5
befoul,NP_NP,0.042553,2
befoul,NP,0.042553,2
befoul,NP_PP_PP,0.042553,2
befoul,NONE,0.042553,2
befoul,SCOMP,0.021277,1
befoul,NP_AP,0.021277,1
befoul,PP_PP,0.021277,1
befoul,PP,0.021277,1
yellow,NONE,0.477528,85
yellow,NP,0.370787,66
yellow,PP,0.044944,8
yellow,SCOMP,0.039326,7
yellow,NP_NP,0.039326,7
yellow,NP_PP,0.02809,5
unify,NP,0.489282,1594
unify,NP_PP,0.236291,521
unify,NP_NP,0.034815,163
unify,NONE,0.078883,7
unify,NONE,0.065482,0
unify,PP,0.095247,0
disturb,NP,0.550507,3667
disturb,NP_PP,0.194966,1266
disturb,NP_SCOMP,0.026186,249
disturb,NP,0.066064,157
disturb,NP,0.048368,48
disturb,NP_SCOMP,0.047653,15
disturb,SINF,0.033414,6
disturb,NONE,0.032842,0
prize,NP,0.360792,169
prize,NP_PP,0.17856,156
prize,PP,0.133901,140
prize,NONE,0.104789,81
prize,NP_PP,0.050714,60
prize,SCOMP,0.046703,0
prize,VPING,0.057081,0
prize,NP_PP,0.036325,0
prize,SING,0.031135,0
buttonhole,NP,0.553693,71
buttonhole,NP_PP,0.19169,30
buttonhole,SINF,0.054332,15
buttonhole,NONE,0.114631,12
buttonhole,PP,0.03821,4
buttonhole,NP,0.047443,0
understock,NONE,0.421053,8
understock,NP,0.157895,3
understock,NP,0.105263,2
understock,SCOMP,0.105263,2
understock,PP,0.105263,2
understock,SCOMP,0.052632,1
understock,VPINF,0.052632,1
disburden,NP,1.0,3
fritter,PP,0.272556,159
fritter,NP_PP PRT +,0.111654,52
fritter,NONE,0.090602,38
fritter,NP PRT +,0.142481,28
fritter,NP,0.133459,22
fritter,NP_PP,0.081955,10
fritter,NONE,0.100376,0
fritter,PP,0.066917,0
orientate,NP,0.392045,138
orientate,NP_NP,0.1875,66
orientate,NONE,0.161932,57
orientate,NP_PP,0.139205,49
orientate,PP,0.053977,19
orientate,NP_PP,0.039773,14
orientate,NP_SCOMP,0.025568,9
charter,NP,0.287405,346
charter,NP_PP,0.212649,327
charter,PP,0.157981,189
charter,SINF,0.075734,122
charter,NP_NP,0.118141,113
charter,NP_PP,0.082771,68
charter,NP PRT +,0.029977,1
charter,NONE,0.035343,0
tolerate,NP,0.861959,4844
tolerate,NONE,0.070514,975
tolerate,NP_PP,0.067527,887
pulse,PP,0.308439,110
pulse,NONE,0.306583,85
pulse,NP,0.200021,56
pulse,NP_PP,0.057391,17
pulse,NONE,0.029438,0
pulse,NONE,0.029438,0
pulse,NP,0.029438,0
pulse,PP,0.039251,0
second,NP,0.301965,204
second,NP_PP,0.225675,134
second,PP,0.176364,108
second,NONE,0.128551,84
second,NP_PP,0.060654,81
second,SINF,0.027706,37
second,NONE,0.079085,2
tether,NP_PP,0.263858,119
tether,PP,0.208426,94
tether,NP,0.206208,93
tether,NP_PP,0.117517,53
tether,NONE,0.117517,53
tether,PP_PP,0.044346,20
tether,PP,0.042129,19
intermingle,NONE,0.312236,74
intermingle,PP,0.232068,55
intermingle,NP_PP,0.232068,55
intermingle,NP,0.135021,32
intermingle,NONE,0.088608,21
thunder,PP,0.413215,419
thunder,NONE,0.400394,406
thunder,NP,0.102564,104
thunder,SCOMP,0.031558,32
thunder,NP_NP,0.026627,27
thunder,NP_PP,0.025641,26
decry,NP,0.684742,1603
decry,NONE,0.059432,90
decry,PP,0.027477,57
decry,NP_PP,0.11776,17
decry,NP_PP,0.054122,5
decry,NP_PP,0.056467,0
succumb,PP,0.581012,2148
succumb,NONE,0.219908,813
succumb,PP_PP,0.050852,188
succumb,PP_VPINF,0.042737,158
succumb,VPINF,0.034352,127
succumb,PP,0.025156,93
succumb,NP_PP,0.024615,91
succumb,PP,0.021369,79
cull,NP,0.41909,167
cull,NP_PP,0.268736,93
cull,NONE,0.121271,50
cull,PP,0.086596,50
cull,SCOMP,0.024236,20
cull,SCOMP,0.036726,16
cull,NP_PP,0.043345,0
crouch,PP,0.394453,600
crouch,NONE,0.279391,355
crouch,AP,0.03673,67
crouch,PP_PP,0.03585,65
crouch,NP,0.05796,0
crouch,NP_PP,0.036226,0
crouch,NONE,0.050715,0
crouch,NP,0.050715,0
crouch,PP,0.05796,0
avert,NP,0.632029,4788
avert,NP_PP,0.189391,1550
avert,NONE,0.081105,332
avert,SCOMP,0.042864,192
avert,PP,0.054612,34
splinter,NP,0.379178,917
splinter,NONE,0.155179,262
splinter,SCOMP,0.062587,224
splinter,PP,0.129194,169
splinter,SCOMP,0.022073,79
splinter,PP_PP,0.04406,11
splinter,NP_AP,0.042384,5
splinter,AP,0.042384,5
splinter,PP,0.040987,0
splinter,NP,0.040987,0
splinter,PP,0.040987,0
herd,NP_PP,0.313778,252
herd,NP,0.297166,174
herd,PP,0.131156,97
herd,NP_NP,0.037268,42
herd,PP_PP,0.04029,20
herd,NONE,0.060114,0
herd,NONE,0.060114,0
herd,NP,0.060114,0
specialise,PP,0.383632,2397
specialise,NONE,0.208462,603
specialise,PP,0.068843,479
specialise,PP_PP,0.035195,203
specialise,PP,0.025015,32
specialise,NP,0.192751,0
specialise,NP_PP,0.059684,0
specialise,NP,0.026418,0
shriek,NONE,0.407336,440
shriek,PP,0.17846,155
shriek,NP,0.202203,117
shriek,NP_PP,0.061149,22
shriek,SCOMP,0.061478,20
shriek,PP,0.031614,10
shriek,SCOMP,0.05776,0
chink,NONE,0.384956,87
chink,PP,0.314159,71
chink,NP,0.128319,29
chink,SCOMP,0.070796,16
chink,PP_SCOMP,0.048673,11
chink,SCOMP,0.026549,6
chink,NONE,0.026549,6
deodorize,NP,0.441176,15
deodorize,NONE,0.352941,12
deodorize,NONE,0.058824,2
deodorize,NP,0.029412,1
deodorize,PP,0.029412,1
deodorize,NP_AP,0.029412,1
deodorize,NP PRT +,0.029412,1
deodorize,SCOMP,0.029412,1
elaborate,NONE,0.50682,6449
elaborate,PP,0.20853,1283
elaborate,NONE,0.033571,519
elaborate,SCOMP,0.053803,0
elaborate,SCOMP,0.053803,0
elaborate,NP,0.071737,0
elaborate,NP_PP,0.035868,0
elaborate,PP_PP,0.035868,0
personify,NP,0.535323,538
personify,NONE,0.152239,153
personify,NP_PP,0.147264,148
personify,PP,0.084577,85
personify,SCOMP,0.028856,29
personify,PP,0.026866,27
personify,NP_PP,0.024876,25
divide,NP,0.353839,2801
divide,NP_PP,0.268084,2027
divide,PP,0.133957,941
divide,NP PRT +,0.039786,63
divide,PP_PP,0.027171,50
divide,NONE,0.071804,30
divide,PP,0.035983,16
divide,NONE,0.069376,0
re-arrange,NP,0.585366,72
re-arrange,NP_PP,0.162602,20
re-arrange,SINF,0.105691,13
re-arrange,NONE,0.081301,10
re-arrange,NP_NP,0.065041,8
criticise,NP,0.455706,3183
criticise,NP_PP,0.138766,1193
criticise,NP_PP,0.168661,815
criticise,NP_PP,0.047506,545
criticise,NP_NP,0.048829,514
