verb,frame,relfreq,freqcnt
convolute,NONE,0.260652,104
convolute,NP,0.441103,176
convolute,NP_NP,0.072682,29
convolute,PP,0.115288,46
convolute,SCOMP,0.110276,44
fawn,NONE,0.358744,80
fawn,NP,0.242152,54
fawn,PP,0.309417,69
fawn,PP_PP,0.03139,7
fawn,SCOMP,0.058296,13
foul,NONE,0.40723,935
foul,NP,0.281794,647
foul,NP_NP,0.055314,127
foul,NP_PP,0.063589,146
foul,PP,0.155488,357
foul,SCOMP,0.036585,84
prefix,NONE,0.298429,57
prefix,NP,0.162304,31
prefix,NP_NP,0.04712,9
prefix,NP_PP,0.09424099999999999,18
prefix,NP_SCOMP,0.078534,15
prefix,PP,0.057592,11
prefix,SCOMP,0.26178,50
forgather,NONE,1.0,4
preface,NONE,0.053846,7
preface,NP,0.284615,37
preface,NP PRT +,0.046154,6
preface,NP_NP,0.061538,8
preface,NP_PP,0.446154,58
preface,PP,0.038462,5
preface,SCOMP,0.069231,9
underachieve,NONE,0.553797,175
underachieve,NP,0.275316,87
underachieve,PP,0.142405,45
underachieve,SCOMP,0.028481,9
shamble,NONE,0.343314,29
shamble,NP,0.112607,2
shamble,NP_NP,0.035616,5
shamble,NP_PP,0.027988,0
shamble,PP,0.456485,45
shamble,PP_PP,0.02399,0
conjure,NONE,0.133717,90
conjure,NP,0.509575,339
conjure,NP PRT +,0.026053,22
conjure,NP_NP,0.040293,53
conjure,NP_PP,0.214833,74
conjure,PP,0.045264,35
conjure,SINF,0.030265,3
regularize,NONE,0.138889,35
regularize,NP,0.507937,128
regularize,NP_NP,0.083333,21
regularize,NP_PP,0.154762,39
regularize,NP_SCOMP,0.035714,9
regularize,SCOMP,0.047619,12
regularize,SING,0.031746,8
chatter,NONE,0.525846,228
chatter,NP,0.181631,18
chatter,PP,0.29252300000000003,137
rouse,NONE,0.08512,131
rouse,NP,0.521768,803
rouse,NP_NP,0.048733,75
rouse,NP_PP,0.239766,369
rouse,PP,0.048083,74
rouse,SINF,0.05653,87
scold,NONE,0.160528,77
scold,NP,0.463,144
scold,NP_PP,0.343914,72
scold,PP,0.032559,13
quadruple,NONE,0.272788,410
quadruple,NP,0.207585,312
quadruple,NP_NP,0.051231,77
quadruple,NP_PP,0.072522,109
quadruple,NP_PP_PP,0.022621,34
quadruple,PP,0.289421,435
quadruple,PP_PP,0.060546,91
quadruple,SCOMP,0.023287,35
outwit,NONE,0.082833,30
outwit,NP,0.638312,295
outwit,NP_NP,0.04178,34
outwit,NP_PP,0.184963,57
outwit,PP,0.052112,5
tingle,NONE,0.508064,126
tingle,NP,0.116935,29
tingle,PP,0.375,93
sputter,NONE,0.672666,598
sputter,NP,0.102362,91
sputter,PP,0.224972,200
lord,NONE,0.132653,52
lord,NP,0.163265,64
lord,NP_NP,0.028061,11
lord,NP_PP,0.114796,45
lord,PP,0.32398,127
lord,PP_PP,0.043367,17
lord,SCOMP,0.07653,30
lord,VPINF,0.086735,34
lord,VPING,0.030612,12
swivel,NONE,0.297414,69
swivel,NP,0.176724,41
swivel,NP_NP,0.038793,9
swivel,NP_PP,0.068966,16
swivel,PP,0.25431,59
swivel,PP_VPINF,0.034483,8
swivel,SINF,0.060345,14
swivel,VPINF,0.068966,16
bellyache,NONE,0.428571,12
bellyache,NP,0.285714,8
bellyache,PP,0.107143,3
bellyache,SCOMP,0.142857,4
bellyache,VPPRT,0.035714,1
stipulate,NONE,0.037544,0
stipulate,NP,0.280209,646
stipulate,NP_PP,0.254257,757
stipulate,PP,0.100525,683
stipulate,SCOMP,0.327465,2976
pigment,AP,0.038462,8
pigment,NONE,0.153846,32
pigment,NP,0.317308,66
pigment,NP_NP,0.033654,7
pigment,NP_PP,0.0625,13
pigment,NP_SCOMP,0.024038,5
pigment,PP,0.081731,17
pigment,SCOMP,0.211539,44
pigment,SINF,0.028846,6
pigment,VPINF,0.048077,10
befoul,NONE,0.148936,7
befoul,NP,0.489362,23
befoul,NP_AP,0.021277,1
befoul,NP_NP,0.042553,2
befoul,NP_PP,0.191489,9
befoul,NP_PP_PP,0.042553,2
befoul,PP,0.021277,1
befoul,PP_PP,0.021277,1
befoul,SCOMP,0.021277,1
yellow,NONE,0.477528,85
yellow,NP,0.370787,66
yellow,NP_NP,0.039326,7
yellow,NP_PP,0.02809,5
yellow,PP,0.044944,8
yellow,SCOMP,0.039326,7
unify,NONE,0.144365,7
unify,NP,0.489282,1594
unify,NP_NP,0.034815,163
unify,NP_PP,0.236291,521
unify,PP,0.095247,0
disturb,NONE,0.032842,0
disturb,NP,0.664939,3872
disturb,NP_PP,0.194966,1266
disturb,NP_SCOMP,0.073839,264
disturb,SINF,0.033414,6
prize,NONE,0.104789,81
prize,NP,0.360792,169
prize,NP_PP,0.26559900000000003,216
prize,PP,0.133901,140
prize,SCOMP,0.046703,0
prize,SING,0.031135,0
